Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.21265
cardio,1831,21,9.6122,0.5412300000000001
glass,214,9,4.2056,0.04217
ionosphere,351,33,35.8974,0.09990999999999998
letter,1600,32,6.25,0.36363
lympho,148,18,4.0541,0.03245
mnist,7603,100,9.2069,2.22508
musk,3062,166,3.1679,0.88239
optdigits,5216,64,2.8758,1.26412
pendigits,6870,16,2.2707,1.35011
pima,768,8,34.8958,0.1393
satellite,6435,36,31.6395,1.4744800000000002
satimage-2,5803,36,1.2235,1.1534900000000001
shuttle,49097,9,7.1511,114.10067000000001
vertebral,240,6,12.5,0.06733
vowels,1456,12,3.4341,0.34381
wbc,378,30,5.5556,0.09666
